"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","id","is_quote_tweet","is_retweet","media/0/media_url","media/0/type","media/0/video_url","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","replying_to_tweet","retweet_count","startUrl","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","user/advertiser_account_type","user/blocked_by","user/blocking","user/business_profile_state","user/can_dm","user/contributors_enabled","user/created_at","user/default_profile_image","user/description","user/ext_has_nft_avatar","user/ext_is_blue_verified","user/ext_profile_image_shape","user/fast_followers_count","user/favourites_count","user/follow_request_sent","user/followed_by","user/followers_count","user/following","user/friends_count","user/geo_enabled","user/has_custom_timelines","user/id","user/id_str","user/is_translation_enabled","user/is_translator","user/lang","user/listed_count","user/location","user/media_count","user/muting","user/name","user/normal_followers_count","user/notifications","user/profile_background_color","user/profile_background_image_url","user/profile_background_image_url_https","user/profile_background_tile","user/profile_banner_url","user/profile_image_url","user/profile_image_url_https","user/profile_sidebar_border_color","user/profile_sidebar_fill_color","user/profile_text_color","user/profile_use_background_image","user/protected","user/require_some_consent","user/screen_name","user/statuses_count","user/time_zone","user/translator_type","user/url","user/utc_offset","user/verified","user/want_retweets","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/profile","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/profile","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/profile","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/profile","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/profile","user_mentions/4/screen_name","view_count"
"1649098087707844608","2023-04-20T17:09:57.000Z","0","【極微小地震速報 熊本県1/14】
2023/04/21 1:37:07 JST, 
熊本県苓北町役場の西33.6km, 
M0.6, TNT119.8g, 深さ15.0km, 
https://t.co/8XfhsT2d3E
#苓北町 https://t.co/sdobnQYvsn","苓北町",,,,,,,,,"1649098087707844608","false","false","https://pbs.twimg.com/media/FuLF-MdaQAEn6Fq.png","photo",,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/earthquake_all/status/1649098087707844608","maps.google.co.jp/maps?f=q&hl=ja…","http://maps.google.co.jp/maps?f=q&hl=ja&geocode=&q=32.4738,129.7004&ie=UTF8&ll=32.4738,129.7004&z=10","https://t.co/8XfhsT2d3E",,,,"promotable_user",,,"none",,"false","2011-10-04T14:18:08.000Z","false","ネコが旗もって癒しを提供する地震速報。各地を訪れて🐾を残していきます。防災科研データをネコ変換しています。都道府県毎にその日最初の震源地をお知らせ","false","false","Circle","0","5",,,"20522",,"5","true","false","384889871","384889871","false","false",,"1002","黒門島","266735",,"全地震速報①🐾","20522",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","https://pbs.twimg.com/profile_banners/384889871/1576319995","http://pbs.twimg.com/profile_images/799169974187134976/seXIyh4M_normal.jpg","https://pbs.twimg.com/profile_images/799169974187134976/seXIyh4M_normal.jpg","000000","DDEEF6","333333","false","false","false","earthquake_all","1121290",,"none","https://t.co/NGWfJuDAEG",,"false",,,,,,,,,,,,,,,,,,,,,,
"1649098067541385216","2023-04-20T17:09:52.000Z","0","#Earthquake (#deprem) M2.0 strikes 17 km NW of #Antioch (#Turkey) 45 min ago. More info: https://t.co/Iez8QFCuFJ","Earthquake","deprem","Antioch","Turkey",,,,,,"1649098067541385216","false","false",,,,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/EMSC/status/1649098067541385216","emsc-csem.org/Earthquake/ear…","https://www.emsc-csem.org/Earthquake/earthquake.php?id=1252159","https://t.co/Iez8QFCuFJ",,,,"promotable_user",,,"none",,"false","2014-04-17T12:27:48.000Z","false","EMSC provides rapid earthquake info. This account displays all recorded worldwide earthquakes. Significant earthquakes only on @LastQuake
Also: https://t.co/dzwCWKQCQu","false","false","Circle","0","2",,,"48644",,"4","false","false","2449645080","2449645080","false","false",,"722","Bruyères-Le-Chatel, France","0",,"AllQuakes - EMSC","48644",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","https://pbs.twimg.com/profile_banners/2449645080/1448463601","http://pbs.twimg.com/profile_images/669527063951482881/xz1X8uwO_normal.png","https://pbs.twimg.com/profile_images/669527063951482881/xz1X8uwO_normal.png","C0DEED","DDEEF6","333333","true","false","false","EMSC","452142",,"none","https://t.co/goORnDGkOk",,"false",,,,,,,,,,,,,,,,,,,,,,
"1649098046817583105","2023-04-20T17:09:47.000Z","1","Two new papers published about the 2023 Turkey-Syria earthquakes!

Karabulut et al. suggest that the historical record of earthquakes overestimates past magnitudes.

Barbot et al. identify a seismic gap at the NE end of the rupture.

Read more here: 

https://t.co/Tk5WN1e7Z0",,,,,,,,,,"1649098046817583105","false","false",,,,,,,,,,"1",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/JudithGeology/status/1649098046817583105","earthquakeinsights.substack.com/p/two-new-pape…","https://earthquakeinsights.substack.com/p/two-new-papers-published-on-the-feb","https://t.co/Tk5WN1e7Z0",,,,"promotable_user",,,"none",,"false","2016-11-10T22:59:28.000Z","false","Plate tectonics to earthquakes, and everything in between • Visiting Asst Prof @CornellEAS • Prev @EOS_SG, Caltech, Harvard • Author • Mom of 3 • She/her","false","false","Circle","0","6419",,,"42844",,"1162","false","true","796849786536206300","796849786536206337","false","false",,"257","Ithaca, NY","1093",,"Dr. Judith Hubbard","42844",,"F5F8FA",,,"false","https://pbs.twimg.com/profile_banners/796849786536206337/1642413913","http://pbs.twimg.com/profile_images/1398224526652043268/8ryx5c-Z_normal.jpg","https://pbs.twimg.com/profile_images/1398224526652043268/8ryx5c-Z_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","JudithGeology","4727",,"none","https://t.co/FAJOTs2fq9",,"false",,,,,,,,,,,,,,,,,,,,,,
"1649097930832490496","2023-04-20T17:09:20.000Z","0","Dear @elonmusk: This is wrong. This individual @BaranKk20 has been selflessly spending his own money and his teams’ time for earthquake relief and recovery in Turkey since Day 1. Please reinstate his account.",,,,,,,,,,"1649097930832490496","false","false",,,,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/Suleymandtr/status/1649097930832490496",,,,,,,"promotable_user",,,"none",,"false","2010-02-08T13:25:39.000Z","false","","false","false","Circle","0","283112",,,"550",,"1654","false","false","112428851","112428851","false","false",,"8","İstanbul, Türkiye","126",,"suleymandtr","550",,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","https://pbs.twimg.com/profile_banners/112428851/1491042940","http://pbs.twimg.com/profile_images/1152216674696945664/ikHmW-XT_normal.jpg","https://pbs.twimg.com/profile_images/1152216674696945664/ikHmW-XT_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Suleymandtr","31378",,"none","https://t.co/ydNWS31alq",,"false",,"44196397","Elon Musk","https://twitter.com/elonmusk","elonmusk","1196149993121472517","Volkan OKÇU","https://twitter.com/BaranKk20","BaranKk20",,,,,,,,,,,,,"1"
"1649056358183096324","2023-04-20T17:09:18.000Z","0","@cetinkayakoc @elonmusk @BaranKk20 Dear @elonmusk: This is wrong. This individual @BaranKk20 has been selflessly spending his own money and his teams’ time for earthquake relief and recovery in Turkey since Day 1. Please reinstate his account.",,,,,,,,,,"1649097923366469639","false","false",,,,,,,,,,"0","https://twitter.com/cetinkayakoc/status/1649056358183096324","0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/ecemecexx/status/1649097923366469639",,,,,,,"none",,,"none",,"false","2023-04-08T23:13:11.000Z","false","","false","false","Circle","0","606",,,"1",,"33","false","false","1644840709369868300","1644840709369868289","false","false",,"0","","1",,"ece","1",,"F5F8FA",,,"false",,"http://pbs.twimg.com/profile_images/1644840845730783232/N0vYs3JI_normal.png","https://pbs.twimg.com/profile_images/1644840845730783232/N0vYs3JI_normal.png","C0DEED","DDEEF6","333333","true","false","false","ecemecexx","4",,"none",,,"false",,"1127910304292134912","Çetin Kaya Koç","https://twitter.com/cetinkayakoc","cetinkayakoc","44196397","Elon Musk","https://twitter.com/elonmusk","elonmusk","1196149993121472517","Volkan OKÇU","https://twitter.com/BaranKk20","BaranKk20","44196397","Elon Musk","https://twitter.com/elonmusk","elonmusk","1196149993121472517","Volkan OKÇU","https://twitter.com/BaranKk20","BaranKk20",
"1649097879242391559","2023-04-20T17:09:07.000Z","0","USGS reports a M2.01 earthquake, 23 km WNW of Stanley, Idaho on 4/19/23 @ 18:25:30 UTChttps://t.co/66dI3F8M3y#earthquake","earthquake",,,,,,,,,"1649097879242391559","false","false",,,,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/everyEarthquake/status/1649097879242391559","earthquake.usgs.gov/earthquakes/ev…","https://earthquake.usgs.gov/earthquakes/eventpage/mb90010983","https://t.co/66dI3F8M3y",,,,"promotable_user",,,"none",,"false","2013-05-09T05:36:42.000Z","false","Tweeting every earthquake occurrence reported by USGS.  Built and maintained by David Barkman aka @cybler.","false","true","Circle","0","15",,,"31238",,"1","true","false","1414684496","1414684496","false","false",,"416","Earth","0",,"Every Earthquake","31238",,"131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","true","https://pbs.twimg.com/profile_banners/1414684496/1591942134","http://pbs.twimg.com/profile_images/1271322067451801603/jh5Aked-_normal.jpg","https://pbs.twimg.com/profile_images/1271322067451801603/jh5Aked-_normal.jpg","EEEEEE","EFEFEF","333333","true","false","false","everyEarthquake","806391",,"none","http://t.co/F96blurVzC",,"false",,,,,,,,,,,,,,,,,,,,,,"17"
"1649097868891009025","2023-04-20T17:09:05.000Z","0","#UtahGreatShakeOut was a success! Thank you to everyone who participated in this educational event to promote #earthquake safety 🦺 https://t.co/s4OoKn0Tdc","UtahGreatShakeOut","earthquake",,,,,,,,"1649097868891009025","false","false","https://pbs.twimg.com/ext_tw_video_thumb/1649097829393260549/pu/img/xiWU51ngDt-KrN3k.jpg","video","https://video.twimg.com/ext_tw_video/1649097829393260549/pu/vid/720x1280/XA2Zbhh_I0Bf-rFk.mp4?tag=12",,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/bereadyslc/status/1649097868891009025",,,,,,,"promotable_user",,,"none",,"false","2010-12-01T21:58:33.000Z","false","Official Twitter page for the Salt Lake Fire Emergency Management Department - Be Ready, BE Prepared in the event of a disaster!","false","false","Circle","0","5469",,,"2219",,"222","true","true","221885471","221885471","false","false",,"61","","1063",,"@bereadyslc","2219",,"000000","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png","false","https://pbs.twimg.com/profile_banners/221885471/1672417746","http://pbs.twimg.com/profile_images/1509911291854397442/AXAV6nhT_normal.jpg","https://pbs.twimg.com/profile_images/1509911291854397442/AXAV6nhT_normal.jpg","000000","000000","000000","false","false","false","bereadyslc","5850",,"none","https://t.co/8o2css41qP",,"true",,,,,,,,,,,,,,,,,,,,,,"5"
"1649097862415003648","2023-04-20T17:09:03.000Z","0","A 2.0 magnitude #earthquake occured at 23 km WNW of Stanley, Idaho. See the full report at: https://t.co/5cLQTVu2ft https://t.co/eUvNqPFtdZ","earthquake",,,,,,,,,"1649097862415003648","false","false","https://pbs.twimg.com/media/FuLFxFSakAAicyA.png","photo",,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/Global_EQ/status/1649097862415003648","earthquakefeed.com/eq/mb90010983/…","https://earthquakefeed.com/eq/mb90010983/23-km-WNW-of-Stanley-Idaho","https://t.co/5cLQTVu2ft",,,,"none",,,"none",,"false","2022-08-26T13:57:13.000Z","false","Global feed of #earthquakes @Seattle_EQ, @LosAngeles_EQ, @SanFrancisco_EQ

Chrome Extension: https://t.co/LBPG22cUtq","false","false","Circle","0","1",,,"421",,"3","false","false","1563163621860917200","1563163621860917250","false","false",,"0","Earth","11255",,"Global Earthquake Alerts","421",,"F5F8FA",,,"false","https://pbs.twimg.com/profile_banners/1563163621860917250/1664956369","http://pbs.twimg.com/profile_images/1579498436474216449/M_F6qsk3_normal.jpg","https://pbs.twimg.com/profile_images/1579498436474216449/M_F6qsk3_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Global_EQ","17883",,"none","https://t.co/FCNZrGiQeS",,"false",,,,,,,,,,,,,,,,,,,,,,"2"
"1649097821503602705","2023-04-20T17:08:54.000Z","0","#Earthquake M3.8 Haiti Region 7mins ago 20 Apr 17:02 UTC - report/info: 
https://t.co/HdXXEvNdkO","Earthquake",,,,,,,,,"1649097821503602705","false","false",,,,,,,,,,"0",,"1","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/EQAlerts/status/1649097821503602705","volcanodiscovery.com/app/earthquake…","https://www.volcanodiscovery.com/app/earthquakes/quake-info/7556389/mag3quake-Apr-20-2023-Haiti-Region.html","https://t.co/HdXXEvNdkO",,,,"none",,,"none",,"false","2016-12-15T23:15:20.000Z","false","Earthquakes alerts in near-real time worldwide (from M 3.2)  Website: https://t.co/MLowsUoZya Android: https://t.co/jJPJGn7OsS Facebook: https://t.co/GjHoAF5ZRW","false","false","Circle","0","5",,,"43113",,"43","false","true","809537352909656000","809537352909656064","false","false",,"364","","9",,"Earthquake Monitor","43113",,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","false","https://pbs.twimg.com/profile_banners/809537352909656064/1481848195","http://pbs.twimg.com/profile_images/809538874351423489/5q0TodJO_normal.jpg","https://pbs.twimg.com/profile_images/809538874351423489/5q0TodJO_normal.jpg","000000","000000","000000","false","false","false","EQAlerts","178097",,"none","https://t.co/x8ZUHjZA1h",,"false",,,,,,,,,,,,,,,,,,,,,,"17"
"1649097773273300999","2023-04-20T17:08:42.000Z","0","Dear @elonmusk: This is wrong. This individual @BaranKk20 has been selflessly spending his own money and his teams’ time for earthquake relief and recovery in Turkey since Day 1. Please reinstate his account.",,,,,,,,,,"1649097773273300999","false","false",,,,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/__SelimDizdar__/status/1649097773273300999",,,,,,,"none",,,"none",,"false","2020-06-17T20:24:58.000Z","false","","false","false","Circle","0","87948",,,"1183",,"1802","false","true","1273350908773109800","1273350908773109761","false","false",,"0","","160",,"Selim Özdemir","1183",,"F5F8FA",,,"false","https://pbs.twimg.com/profile_banners/1273350908773109761/1666461314","http://pbs.twimg.com/profile_images/1386496477485178880/IElrgyEy_normal.jpg","https://pbs.twimg.com/profile_images/1386496477485178880/IElrgyEy_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","__SelimDizdar__","24815",,"none",,,"false",,"44196397","Elon Musk","https://twitter.com/elonmusk","elonmusk","1196149993121472517","Volkan OKÇU","https://twitter.com/BaranKk20","BaranKk20",,,,,,,,,,,,,"1"
"1649049563033141251","2023-04-20T17:08:31.000Z","0","@jimwills21 @TMZ TDS is a real thing! We can have an earthquake in 2050 and it still will be Trumps fault.",,,,,,,,,,"1649097725424832513","false","false",,,,,,,,,,"0","https://twitter.com/jimwills21/status/1649060162391654400","0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/Lewisjk8081/status/1649097725424832513",,,,,,,"none",,,"none",,"false","2022-10-28T17:12:01.000Z","false","I’m not here for followers, only for entertainment within the matrix. Proud Member of NO MA'AM. Rest Easy - EAZY.","false","false","Circle","0","2652",,,"22",,"57","false","true","1586043032205336600","1586043032205336576","false","false",,"1","Los Angeles, CA","97",,"NO MA'AM","22",,"F5F8FA",,,"false","https://pbs.twimg.com/profile_banners/1586043032205336576/1670615210","http://pbs.twimg.com/profile_images/1601300932918071297/2Ca1IuF__normal.jpg","https://pbs.twimg.com/profile_images/1601300932918071297/2Ca1IuF__normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Lewisjk8081","1018",,"none",,,"false",,"2563888112","Jim Williams","https://twitter.com/jimwills21","jimwills21","16331010","TMZ","https://twitter.com/TMZ","TMZ",,,,,,,,,,,,,"2"
"1649097628330901504","2023-04-20T17:08:08.000Z","0","Bu Bayramı sessiz kutlayın!...
CELEBRATE THİS EİD QUİETLY...
#earthquake https://t.co/ULTrPUKZBE","earthquake",,,,,,,,,"1649097628330901504","false","false","https://pbs.twimg.com/media/FuLFiw2XwAICgQS.jpg","photo",,,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/ademre4444/status/1649097628330901504",,,,,,,"promotable_user",,,"none",,"false","2014-04-08T13:13:45.000Z","false","No Porn, No DM
Bipliophile/Bookish
TÜRKİYE LOVER
Malatya/Melita/Malatiye/Maldiya LOVER","false","false","Circle","0","34574",,,"1005",,"1743","true","true","2469533973","2469533973","false","false",,"4","","785",,"Ali Demirel","1005",,"ACDED6","http://abs.twimg.com/images/themes/theme18/bg.gif","https://abs.twimg.com/images/themes/theme18/bg.gif","false",,"http://pbs.twimg.com/profile_images/1503414435892932611/AEWoLMMA_normal.jpg","https://pbs.twimg.com/profile_images/1503414435892932611/AEWoLMMA_normal.jpg","FFFFFF","F6F6F6","333333","true","false","false","ademre4444","15556",,"none",,,"false",,,,,,,,,,,,,,,,,,,,,,"4"
"1649097605841035264","2023-04-20T17:08:02.000Z","0","Yesterday we had an earthquake drill in Mexico. The alert is absolutely fucking horrifying, but it's a necessary evil that saves lives.

 Horrid it as it is, it reminded me of this hilarious rating Emergency Alert Systems, by @calvinkrause https://t.co/OyTwL3gf93",,,,,,,,,,"1649097605841035264","false","false","https://pbs.twimg.com/ext_tw_video_thumb/1649097557170176004/pu/img/rAyG3Kual5zwXoJv.jpg","video","https://video.twimg.com/ext_tw_video/1649097557170176004/pu/vid/650x1278/fvBsoQzBB_wts_YA.mp4?tag=12",,,,,,,"0",,"0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/eperea/status/1649097605841035264",,,,,,,"promotable_user",,,"none",,"false","2009-03-23T05:13:07.000Z","false","Seeker @MagmaPartners. I like startups, the web, music, cars, food, books, science, tech, cool ideas, and random entertaining stuff. Pauca sed matura.","false","false","Circle","0","19174",,,"17630",,"505","true","true","25958068","25958068","false","false",,"236","Nepantla","5738",,"Eugenio Perea","17630",,"131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","false","https://pbs.twimg.com/profile_banners/25958068/1511459010","http://pbs.twimg.com/profile_images/665042485148672001/Qna-Vbyq_normal.jpg","https://pbs.twimg.com/profile_images/665042485148672001/Qna-Vbyq_normal.jpg","FFFFFF","EFEFEF","333333","true","false","false","eperea","48303",,"regular","https://t.co/YLTn1hcK0M",,"true",,"51215017","Calvin Krause","https://twitter.com/calvinkrause","calvinkrause",,,,,,,,,,,,,,,,,"53"
"1649081234511806465","2023-04-20T17:07:04.000Z","0","@HillaryClinton @OnwardTogether Just gave corrupt Ukraine another 350 million. 
How about letting the American people see the 150 banking red flags the IRS have found on the Biden crime family. 
Haitians are still waiting on the money the Clinton Foundation received to help Haiti recover from earthquake.",,,,,,,,,,"1649097361166155813","false","false",,,,,,,,,,"0","https://twitter.com/HillaryClinton/status/1649081234511806465","0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/terrylshelton13/status/1649097361166155813",,,,,,,"none",,,"none",,"false","2019-03-20T15:17:58.000Z","false","Man","false","false","Circle","0","4704",,,"14",,"138","false","true","1108387209818923000","1108387209818923008","false","false",,"1","South Carolina ","166",,"10% to the Big Guy","14",,"F5F8FA",,,"false",,"http://pbs.twimg.com/profile_images/1179758507723300865/TBZVU5gB_normal.jpg","https://pbs.twimg.com/profile_images/1179758507723300865/TBZVU5gB_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","terrylshelton13","7124",,"none",,,"false",,"1339835893","Hillary Clinton","https://twitter.com/HillaryClinton","HillaryClinton","821424486868254720","Onward Together","https://twitter.com/OnwardTogether","OnwardTogether",,,,,,,,,,,,,"4"
"1649084924396290050","2023-04-20T17:06:47.000Z","0","@HuuReviews @bluenyde1 Kinda feel like being underwater wouldn’t save you from the adverse effects of being a few yards away from  the epicenter of a Magnitude eleven earthquake. 
But Van and Burgess could have also done that so who knows.",,,,,,,,,,"1649097292530733057","false","false",,,,,,,,,,"0","https://twitter.com/HuuReviews/status/1649090090315182081","0","https://twitter.com/search?q=earthquake&src=typed_query&f=live","https://twitter.com/Hyst_eryk_al/status/1649097292530733057",,,,,,,"none",,,"none",,"false","2019-01-03T00:36:59.000Z","false","大丈夫だよ","false","false","Circle","0","12905",,,"68",,"174","false","true","1080624025993400300","1080624025993400320","false","false",,"1","","813",,"TheBHN","68",,"F5F8FA",,,"false","https://pbs.twimg.com/profile_banners/1080624025993400320/1634709025","http://pbs.twimg.com/profile_images/1450703224252497923/1bSZhWNE_normal.jpg","https://pbs.twimg.com/profile_images/1450703224252497923/1bSZhWNE_normal.jpg","C0DEED","DDEEF6","333333","true","false","false","Hyst_eryk_al","8129",,"none",,,"false",,"1486371691022491652","BlackHat","https://twitter.com/HuuReviews","HuuReviews","1299009212257886209","NAIDOU","https://twitter.com/bluenyde1","bluenyde1",,,,,,,,,,,,,"1"
